,ID,TITLE,PRICE,PRICE PER SQ. M.,BEDROOMS,BATHROOMS,SIZE,POOL,URL,IMG,NEW BUILD,*ROOMS*,*KITCHEN*,*BATHROOM*,*GARDEN*,*OUTSIDE*,*HEATING*,*POOL*,*BUILDINGS*,*TENURE*,*UTILITIES*,*ENERGY CONSUMPTION RATING*,*SECURITY*,*PARKING*,*PLOT SIZE*,*LEISURE*,*VIEWS*,*QUALITY*,LAT,LON
0,5460821,2 bedroom Apartment for sale in Malaga,365000.0,4740.25974025974,2,2,77,True,https://www.kyero.com/en/property/5460821,http://production.kyero.s3.amazonaws.com/5460/5460821/72890267_original.jpg,True,"utility room, store room",fitted kitchen,en suite bathroom,,terrace,air conditioning,communal pool,,,adsl,Awaiting details,gated complex,underground parking,,,,"immaculate condition, newly built",36.719623,-4.420023
1,5460803,4 bedroom Apartment for sale in Malaga,339000.0,2511.1111111111113,4,2,135,True,https://www.kyero.com/en/property/5460803,http://production.kyero.s3.amazonaws.com/5460/5460803/72890102_original.jpg,True,"utility room, store room",fitted kitchen,en suite bathroom,community garden,terrace,air conditioning,communal pool,,,adsl,Awaiting details,gated complex,underground parking,,,mountain views,"immaculate condition, newly built, new development",36.719623,-4.420023
2,5460820,2 bedroom Apartment for sale in Malaga,309000.0,3551.7241379310344,2,2,87,True,https://www.kyero.com/en/property/5460820,http://production.kyero.s3.amazonaws.com/5460/5460820/72890260_original.jpg,True,"utility room, store room",fitted kitchen,en suite bathroom,,terrace,air conditioning,communal pool,,,adsl,Awaiting details,gated complex,underground parking,,,,"immaculate condition, newly built",36.719623,-4.420023
3,5363194,2 bedroom Apartment for sale in Malaga,266000.0,3546.6666666666665,2,1,75,True,https://www.kyero.com/en/property/5363194,http://production.kyero.s3.amazonaws.com/5363/5363194/68989953_original.jpg,True,,fitted kitchen,,community garden,"terrace, covered terrace, barbecue",,communal pool,,,"electricity, adsl",Awaiting details,electronic entry system,parking,,,,"immaculate condition, newly built",36.719623,-4.420023
4,4438626,3 bedroom Apartment for sale in Malaga,1090000.0,6264.367816091954,3,2,174,False,https://www.kyero.com/en/property/4438626,http://production.kyero.s3.amazonaws.com/4438/4438626/51146487_original.jpg,True,,,newly fitted bathroom,,,"air conditioning, floor heating",,,,,Awaiting details,,,,,,"immaculate condition, well presented, tastefully decorated, renovated, built to high standards, spacious accommodation, stylish accommodation, charming property, full of character, many special features, quality residence, modern",36.719623,-4.420023
5,5159693,2 bedroom Apartment for sale in Malaga,266000.0,3546.6666666666665,2,1,75,True,https://www.kyero.com/en/property/5159693,http://production.kyero.s3.amazonaws.com/5159/5159693/68864350_original.jpg,True,,fitted kitchen,,community garden,"terrace, covered terrace, barbecue",,communal pool,,,"electricity, adsl",Awaiting details,electronic entry system,parking,,,,"immaculate condition, newly built",36.719623,-4.420023
6,5308467,4 bedroom Apartment for sale in Malaga,402000.0,2284.090909090909,4,3,176,True,https://www.kyero.com/en/property/5308467,http://production.kyero.s3.amazonaws.com/5308/5308467/73039630_original.jpg,True,"utility room, store room",fitted kitchen,,,terrace,air conditioning,communal pool,,,,Awaiting details,gated complex,underground parking,,gymnasium,,"immaculate condition, newly built, new development",36.719623,-4.420023
7,5437805,3 bedroom Apartment for sale in Malaga,235400.0,2615.5555555555557,3,3,90,True,https://www.kyero.com/en/property/5437805,http://production.kyero.s3.amazonaws.com/5437/5437805/70980949_original.jpg,True,,,,,,,,,,,Awaiting details,,,,,,,36.719623,-4.420023
8,4427021,2 bedroom Apartment for sale in Malaga,309000.0,3121.212121212121,2,1,99,False,https://www.kyero.com/en/property/4427021,http://production.kyero.s3.amazonaws.com/4427/4427021/51154059_original.jpg,True,,,,,,,,,,,Awaiting details,,,,,,,36.719623,-4.420023
9,5343631,18 bedroom Land for sale in Malaga,250000.0,,18,18,,False,https://www.kyero.com/en/property/5343631,http://production.kyero.s3.amazonaws.com/5343/5343631/mcqga7wqnsa_0001.jpg,True,,,,,,,,,,,Awaiting details,,,,,,,36.719623,-4.420023
